nafn,start_time,percent_completed,est_finish_time,started,finished,upphaf,fjoldi,id
Tímataka Bjarts 2021 - Krísuvík - Heildarúrslit,19:00,100,21:00,22,22,2024-10-17 19:00:00,22,1
Bikarmót XCO - Breiðablik - XCO - Karlar  | ELI |18 ára og eldri,12:00,100,14:00,11,11,2024-10-17 12:00:00,11,2
Bikarmót XCO - Breiðablik - XCO - Konur  | ELI |18 ára og eldri,12:00,100,14:00,2,2,2024-10-17 12:00:00,2,3
Bikarmót XCO - Breiðablik - XCO - Konur  | M4049 |40 ára til 49 ára,12:00,100,14:00,4,4,2024-10-17 12:00:00,4,4
Bikarmót XCO - Breiðablik - XCO - Karlar  | M4049 |40 ára til 49 ára,12:00,100,14:00,7,7,2024-10-17 12:00:00,7,5
Bikarmót XCO - Breiðablik - XCO - Karlar  | M5059 |50 ára til 59 ára,12:00,100,14:00,1,1,2024-10-17 12:00:00,1,6
Bikarmót XCO - Breiðablik - XCO - Konur  | XCB |15 ára og eldri,12:00,100,14:00,1,1,2024-10-17 12:00:00,1,7
Bikarmót XCO - Breiðablik - XCO Yngri flokkar - Konur  | JUN |17 ára til 18 ára,10:00,100,11:00,2,2,2024-10-17 10:00:00,2,8
Bikarmót XCO - Breiðablik - XCO Yngri flokkar - Konur  | JUN |17 ára til 18 ára,10:00,100,11:00,2,2,2024-10-17 10:00:00,2,9
Bikarmót XCO - Breiðablik - XCO Yngri flokkar - Karlar  | U13 |10 ára til 12 ára,10:00,100,11:00,3,3,2024-10-17 10:00:00,3,10
Bikarmót XCO - Breiðablik - XCO Yngri flokkar - Karlar  | U11 |8 ára til 10 ára,10:00,100,11:00,1,1,2024-10-17 10:00:00,1,11
Tindahlaup Mosfellsbæjar 2021 - 7 tindar (37 km) - Heildarúrslit / Overall,09:00,100,16:00,35,35,2024-10-17 09:00:00,35,12
Tindahlaup Mosfellsbæjar 2021 - 5 tindar (35 km) - Heildarúrslit / Overall,09:00,100,16:00,23,23,2024-10-17 09:00:00,23,13
Tindahlaup Mosfellsbæjar 2021 - 1 tindur (12 km) - Heildarúrslit / Overall,11:00,100,16:00,56,56,2024-10-17 11:00:00,56,14
North Ultra 2021 - North Ultra - Heildarúrslit / Overall,08:00,100,20:00,31,31,2024-10-17 08:00:00,31,15
North Ultra 2021 - North Half - Heildarúrslit / Overall,12:00,100,20:00,131,131,2024-10-17 12:00:00,131,16
Fjallabrun - Úlfarsfell - Úlfarsfell DH - Heildarúrslit,13:00,100,16:00,30,30,2024-10-17 13:00:00,30,17
Ofursprettþraut 3N - 2021 - Bikarkeppni Almennur Flokkur - Heildarúrslit,09:00,100,10:00,32,32,2024-10-17 09:00:00,32,18
Ofursprettþraut 3N - 2021 - Bikarkeppni Byrjendaflokkur - Heildarúrslit,09:00,100,10:00,6,6,2024-10-17 09:00:00,6,19
Ofursprettþraut 3N - 2021 - ungmennaflokkur 15-17 ára - Heildarúrslit,09:00,100,10:00,1,1,2024-10-17 09:00:00,1,20
Fellahringurinn 2021 - Litli Fellahringurinn - 15km - Heildarúrslit / Overall,19:00,100,21:00,33,33,2024-10-17 19:00:00,33,21
Fellahringurinn 2021 - Stóri Fellahringurinn - 30km - Heildarúrslit / Overall,19:00,100,21:00,52,52,2024-10-17 19:00:00,52,22
Fellahringurinn 2021 - Rafmagnshjól: Stóri Fellahringurinn - 30km - Heildarúrslit / Overall,19:00,100,21:00,3,3,2024-10-17 19:00:00,3,23
Íslandsmót í criterium 2021 - Elite kvenna og U23; 60 mínútur + 1 bjölluhringur - Konur,11:45,0,13:00,8,0,2024-10-17 11:45:00,8,24
Íslandsmót í criterium 2021 - Elite karla og U23: 75 mínútur + 1 bjölluhringur - Karlar,13:00,82,14:20,16,13,2024-10-17 13:00:00,16,25
"Íslandsmót í criterium 2021 - B-flokkur, masters, juniors, u17 (kk): 45 mínútur + 1 bjölluhringur - Karlar",10:45,0,11:45,15,0,2024-10-17 10:45:00,15,26
"Íslandsmót í criterium 2021 - B-flokkur, masters, juniors, u17 (kvk): 45 mínútur + 1 bjölluhringur - Konur",09:45,0,10:45,7,0,2024-10-17 09:45:00,7,27
Íslandsmót í criterium 2021 - U13/U15 - strákar og stelpur: 30 mínútur + 1 bjölluhringur - Heildarúrslit,09:00,0,09:45,4,0,2024-10-17 09:00:00,4,28
Criterium bikarmót - 8 - A-Flokkur Kvenna (Elite) - Konur 16 ára og eldri,20:30,0,21:00,3,0,2024-10-17 20:30:00,3,29
Criterium bikarmót - 8 - A-Flokkur Karla (Elite) - Karlar 16 ára og eldri,21:05,0,21:40,9,0,2024-10-17 21:05:00,9,30
Criterium bikarmót - 8 - U13 / U15 / U17 - Karlar 13 ára til 14 ára,19:00,0,21:00,1,0,2024-10-17 19:00:00,1,31
Criterium bikarmót - 8 - U13 / U15 / U17 - Karlar 6 ára til 12 ára,19:00,0,21:00,1,0,2024-10-17 19:00:00,1,32
Criterium bikarmót - 8 - Master Karla - Karlar 50 ára til 59 ára,19:20,0,20:00,1,0,2024-10-17 19:20:00,1,33
Criterium bikarmót - 8 - Master Kvenna - Konur 40 ára til 49 ára,19:55,0,20:30,2,0,2024-10-17 19:55:00,2,34
Criterium bikarmót - 8 - Master Kvenna - Konur 50 ára til 59 ára,19:55,0,20:30,1,0,2024-10-17 19:55:00,1,35
Criterium bikarmót - 8 - B-flokkur Karla (RR) - Karlar 99 ára og yngri,19:20,0,20:00,5,0,2024-10-17 19:20:00,5,36
Criterium bikarmót - 8 - B-flokkur Kvenna (RR) - Konur 99 ára og yngri,19:55,0,20:30,1,0,2024-10-17 19:55:00,1,37
Grefillinn 2021 - Grefillinn - 174 km - Heildarúrslit / Overall,09:00,100,21:00,35,35,2024-10-17 09:00:00,35,38
Grefillinn 2021 - Hálfur Grefill - 65 km - Heildarúrslit / Overall,09:10,100,21:00,39,39,2024-10-17 09:10:00,39,39
Sprettþraut 3SH - Almennurflokkur - Heildarúrslit,09:00,100,12:00,21,21,2024-10-17 09:00:00,21,40
Sprettþraut 3SH - Byrjendaflokkur - Heildarúrslit,09:00,100,12:00,10,10,2024-10-17 09:00:00,10,41
5VH Trail Run 2021 - 5VH Trail Run - Heildarúrslit,09:00,100,16:00,100,100,2024-10-17 09:00:00,100,42
Tour de Ormurinn 2021 - 68 km - Heildarúrslit,09:00,100,15:00,41,41,2024-10-17 09:00:00,41,43
Tour de Ormurinn 2021 - 68 km (Liðakeppni) - Heildarúrslit,09:00,100,15:00,2,2,2024-10-17 09:00:00,2,44
Tour de Ormurinn 2021 - 103 KM - Heildarúrslit,09:00,100,15:00,5,5,2024-10-17 09:00:00,5,45
5VH Trail Run 2021 - 5VH Trail Run - Heildarúrslit,09:00,100,16:00,100,100,2024-10-17 09:00:00,100,46
Trékyllisheiðin 2021 - Lengra hlaupið (47 km) - Heildarúrslit / Overall,10:00,100,18:00,18,18,2024-10-17 10:00:00,18,47
"Trékyllisheiðin 2021 - Styttra hlaupið (16,5 km) - Heildarúrslit / Overall",13:00,100,16:00,41,41,2024-10-17 13:00:00,41,48
Enduro Ísafjörður - Enduró Ísafjörður - Karlar  | 18A |15 ára og eldri,11:00,100,17:00,15,15,2024-10-17 11:00:00,15,49
